video_id,video_title,published_at,view_count,like_count,comment_count,duration_seconds
oreAsJTNcsA,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06T17:20:05Z,238977,6637,120,4108.0
xjA1HjvmoMY,Find and Find_All | Web Scraping in Python,2023-07-04T12:00:49Z,94987,2392,44,730.0
LO7hzmoHEIE,500k Livestream!!,2023-06-28T17:11:25Z,6285,383,24,6232.0
bargNl2WeN4,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27T12:00:28Z,229208,4006,81,418.0
q-kbzWjyPak,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20T12:00:43Z,90499,2205,42,355.0
PExdWWcxmro,Best Places to Find Datasets for Your Projects,2023-06-13T12:00:16Z,231977,5675,101,464.0
Liv6eeb1VfE,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06T12:00:14Z,203409,4492,243,1933.0
fHK4nHbUtj0,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30T16:34:20Z,10268,363,20,5548.0
5l2d_Rv0odE,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29T12:00:07Z,337804,6201,168,443.0
bDhvCp3_lYw,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23T12:30:17Z,460353,10766,501,2317.0
IMU1V-JugKo,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16T16:18:56Z,59045,1874,52,4248.0
FpgkpjSyBOw,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15T12:30:11Z,46700,1381,376,4352.0
6jtS3Hz19kc,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12T12:15:00Z,33389,799,80,521.0
JpSMse3eVVg,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09T11:30:06Z,100953,2215,47,1010.0
TPivN7tpdwc,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02T12:06:33Z,159498,3428,84,1329.0
kky9MMydnOA,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27T16:32:02Z,10328,338,27,5944.0
2izXQUoXyjA,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25T11:30:01Z,66378,1253,59,481.0
zilfrWwbteQ,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18T16:18:50Z,39410,1078,31,4135.0
PJINexERxOs,Google Business Intelligence Professional Certification Review,2023-04-18T11:30:08Z,47066,1276,74,424.0
gTf2GLEhKgA,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10T11:30:21Z,161118,4549,410,695.0
